"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"7246_19",0.0110202335149146,0.0275651717120739,0.0135125677752736,0.0292012480594997,0.0270715367569194,0.0290968936875922,0.48372947898252,0.0266647125461702,0.0319751893745279,0.0277106811322726,0.00160912557448538,0.0168653168647311,0.00353852587455145,0.0212860200449907,0.0286543111841713,0.00398750488823582,0.0257383435160568,0.0114084117424287,0.00473874906925477,0.0122816546248234,0.0242337194581832,0.0216870114207768,0.00114195660303268,0.0279250236196604,0.0283763810797971,0.00184721566073205,0.0160075257143421,0.0126941132742471,0.00201093445793184,0.0264204417858032
"7246_18",0.0174708882489516,0.0540401169447196,0.0234083085824378,0.0595771440441156,0.135057505566805,0.0460725739263244,0.0106074618687752,0.033977276543391,0.0547273415758214,0.0589919120794988,0.00173994436913098,0.0139494475331015,0.00444193913751981,0.0344355099275018,0.0671518648325882,0.00692883221686913,0.0456515397178172,0.0185320846688689,0.00704516192092631,0.0227558361867386,0.050159687766994,0.0260835019073166,0.00190676925721806,0.0533703092055036,0.0546259162120152,0.00324228577495632,0.0212475785065172,0.0198725776739092,0.00304495270305049,0.0498837311006164
"9837_1",0.0144256958129,0.0497915380580687,0.0180871850241439,0.0519893234255693,0.0458632372852055,0.0664718379052452,0.00768802016823839,0.0280581170206754,0.0503567672924947,0.0503307970915131,0.00137406211814985,0.00787527167261214,0.00294792008959869,0.0311020122787274,0.198349837360061,0.00644969502576436,0.0418369239513769,0.0152998878893664,0.00511024430028224,0.0478110859654319,0.0366943887260731,0.0170577271443289,0.00144348579607887,0.0550108760694066,0.061339747772853,0.00291998883176059,0.0178706879136684,0.0163419980722433,0.00196516269305425,0.0481364772451078
"9843_2",0.00313070118822397,0.00764540331252268,0.00332519806540366,0.00794418777329129,0.00699032757636309,0.00713364586808887,0.00168595942617155,0.00617774133873319,0.00731188523680241,0.00768850945248032,0.000318165229557165,0.00201426802274917,0.000642788498259766,0.00544922288050577,0.00786597401937795,0.00107079792104835,0.00694223446045351,0.00299197632404612,0.000935134167358413,0.00285198285357846,0.00628390580178047,0.00375594062843465,0.00030077374089625,0.00760394594788075,0.00785567990173306,0.000538504069285761,0.00332933582462051,0.872534520155138,0.000385697710707799,0.00729559260450722
"9843_1",0.000994992294521158,0.0026199274099731,0.00146024653583314,0.00273064505552418,0.00253967268849325,0.00238541670988664,0.000632318422592723,0.0034842072209681,0.00259701071189784,0.00263253543457086,0.000183181166082454,0.00232312887110338,0.000570027931467105,0.0020452374690321,0.00265438080135365,0.00036144303895469,0.00238676885874058,0.000918339036899855,0.000382293213134478,0.000876416824295462,0.0023712140855668,0.00163217596378192,8.17425938376344e-05,0.0026168600165224,0.00266252666428365,0.000123030493299889,0.000994504275789776,0.00110242517679365,0.951151146545479,0.00248618448932026
"9843_0",0.00869487147286237,0.0225811248901156,0.00994965157404632,0.0242116035222771,0.0216402293128364,0.0200840798589335,0.00440563802144031,0.0221591294437048,0.0367633317580379,0.0231270639458109,0.000989188855871647,0.00432469724140452,0.00147009741208005,0.018468459946666,0.0238063621293295,0.00331381798571353,0.0218135752503596,0.00922574941948376,0.328352154371111,0.26777467880635,0.0184586742847651,0.0120149748354679,0.000941081625226707,0.0231964478860848,0.0237179102977021,0.00156123138807422,0.0144396214138726,0.00963550855148666,0.000971667218346864,0.0219073772805381
"9837_0",0.0059511203973975,0.0159513902631501,0.00651204414913372,0.0152841018292259,0.0148761799889786,0.028932444521317,0.00273423645856565,0.0181683615555407,0.0206040362824082,0.0178567315721376,0.0265695211024638,0.00483103077450024,0.000524998528616053,0.0105548917241901,0.0161410988270582,0.0012343145311876,0.0125076832251385,0.00620806046229445,0.00303981166214905,0.0117046117878476,0.0131603233049521,0.685458091860504,0.000465173698952841,0.0158455429460288,0.016270589562167,0.000452050796336793,0.00609649936613988,0.00597302385657747,0.000666043648325656,0.015425991316715
"9842_3",0.00890479536406259,0.0269718246251018,0.0111818598450397,0.0246653468195702,0.0290608536402878,0.0208305051455297,0.00479901966714239,0.101075029525607,0.0324512851956627,0.024908328775667,0.279486073147755,0.0110717602215287,0.00136125832740723,0.0183296400143303,0.0349379016010167,0.0017314760600153,0.0204797794091366,0.00761313649323163,0.00266130883462393,0.00591037940213098,0.0227234448076533,0.0143734260543569,0.000358162959199236,0.0311402367145601,0.0266752253896345,0.000518279078301267,0.00643369141540413,0.0101708447316309,0.194087827732954,0.0250872990014584
"9843_top",0.00450788835343937,0.0138529628407761,0.00570619079407408,0.0137156908626259,0.00969640047350548,0.00900813946020912,0.00280353807997217,0.0655493342630936,0.0103556703797123,0.0107872511063535,0.416859724769663,0.174018040708395,0.000405613116231212,0.0106548588953678,0.0129068293899125,0.000393852493222222,0.0118413216632134,0.00319294275366724,0.00999724882316148,0.00169102431131553,0.0114990722415615,0.150518660418521,0.000182675374036814,0.0133245952028186,0.0131432482312677,0.00015683643523835,0.00563555255865169,0.00391996035153601,0.000973624966469127,0.0127012506819875
"9839_4",0.00827665045131584,0.0264507661039556,0.0310144482084399,0.0240925804492497,0.020823069514579,0.0195335125994771,0.00450276228793752,0.0154451510343621,0.0282590281415869,0.0239902709147334,0.00134266147902454,0.00908651363520484,0.00121535394687718,0.0156855527231173,0.0244066904296668,0.00209730392502465,0.0227440298740543,0.00732613289235457,0.00384579899096129,0.00486854356651488,0.039385206344762,0.522573801811645,0.00105665178100521,0.0273305893016422,0.0616952667020741,0.00094322901996793,0.0169578746014158,0.00784548534410796,0.000989166475645746,0.0262159074492967
